model,view_definition,task_type,difficulty,count,option_accuracy,bbox_acc@50iou,bbox_mean_iou
OpenGVLab/InternVL3_5-14B-Instant,Agent-State Reasoning,self_where,all,1024,0.2275390625,0.076171875,0.22218613847461233
OpenGVLab/InternVL3_5-14B-Instant,Agent-State Reasoning,self_what,all,1024,0.3193359375,0.0751953125,0.22462431927691365
OpenGVLab/InternVL3_5-14B-Instant,World-State Reasoning,env_where,all,1024,0.28515625,0.046875,0.12923612717831134
OpenGVLab/InternVL3_5-14B-Instant,World-State Reasoning,env_how,all,1024,0.4130859375,0.0498046875,0.11947063995394985
OpenGVLab/InternVL3_5-30B-A3B-Instant,Agent-State Reasoning,self_where,all,1024,0.2734375,0.048828125,0.20003980894926462
OpenGVLab/InternVL3_5-30B-A3B-Instant,Agent-State Reasoning,self_what,all,1024,0.240234375,0.0703125,0.15286177543143192
OpenGVLab/InternVL3_5-30B-A3B-Instant,World-State Reasoning,env_where,all,1024,0.353515625,0.005859375,0.07556639455561663
OpenGVLab/InternVL3_5-30B-A3B-Instant,World-State Reasoning,env_how,all,1024,0.4130859375,0.0126953125,0.07295510830806656
OpenGVLab/InternVL3_5-4B-Instant,Agent-State Reasoning,self_where,all,1024,0.255859375,0.03125,0.19784410102267647
OpenGVLab/InternVL3_5-4B-Instant,Agent-State Reasoning,self_what,all,1024,0.263671875,0.1201171875,0.23731435943322468
OpenGVLab/InternVL3_5-4B-Instant,World-State Reasoning,env_where,all,1024,0.2236328125,0.009765625,0.0805130476364124
OpenGVLab/InternVL3_5-4B-Instant,World-State Reasoning,env_how,all,1024,0.3671875,0.009765625,0.07490303106084714
OpenGVLab/InternVL3_5-4B-Thinking,Agent-State Reasoning,self_where,all,1024,0.208984375,0.0908203125,0.17706791220565843
OpenGVLab/InternVL3_5-4B-Thinking,Agent-State Reasoning,self_what,all,1024,0.2373046875,0.1318359375,0.23739174520020553
OpenGVLab/InternVL3_5-4B-Thinking,World-State Reasoning,env_where,all,1024,0.2861328125,0.0185546875,0.0924141363337234
OpenGVLab/InternVL3_5-4B-Thinking,World-State Reasoning,env_how,all,1024,0.31640625,0.03125,0.09414572527841962
OpenGVLab/InternVL3_5-8B-Instant,Agent-State Reasoning,self_where,all,1024,0.28515625,0.197265625,0.3424116745214953
OpenGVLab/InternVL3_5-8B-Instant,Agent-State Reasoning,self_what,all,1024,0.2451171875,0.0947265625,0.290950867528341
OpenGVLab/InternVL3_5-8B-Instant,World-State Reasoning,env_where,all,1024,0.2470703125,0.0419921875,0.12266134380259788
OpenGVLab/InternVL3_5-8B-Instant,World-State Reasoning,env_how,all,1024,0.3076171875,0.025390625,0.11427632990133534
